policy,episode_index,seed,episode_seed,level_id,map_file,level_pool_index,final_spt_t10,spt_by_turn,final_stars,final_city_count,final_avg_city_level,turn_first_uncaptured_village_visible,turn_second_city_captured,final_unit_count,organization_researched,turn_organization_researched,forestry_researched,turn_forestry_researched,techs_researched,fruit_harvested_t10,animals_harvested_t10,villages_captured_t10,fog_tiles_cleared_total,total_reward,custom_spt_return,truncated,step_count
ppo_latest,5,47,47,phase1_12x12_pool_057.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_057.csv,57,7.0,"[null, null, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",5.0,2.0,2.0,2.0,5.0,8.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,45.0,31.599999999999994,7.0,True,48
oracle_org_only,5,47,47,phase1_12x12_pool_058.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_058.csv,58,10.0,"[null, null, 4.0, 4.0, 4.0, 8.0, 10.0, 10.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,2.0,5.0,4.0,0.0,-1.0,0.0,-1.0,0.0,0.0,4.0,2.0,52.0,58.16,10.0,True,36
ppo_latest,6,48,48,phase1_12x12_pool_060.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_060.csv,60,13.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 8.0, 11.0, 13.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,4.0,9.0,0.0,-1.0,0.0,-1.0,0.0,2.0,4.0,3.0,54.0,92.81999999999996,13.0,True,60
oracle_org_only,6,48,48,phase1_12x12_pool_061.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_061.csv,61,13.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 10.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,4.0,8.0,1.0,2.0,0.0,-1.0,1.0,6.0,0.0,3.0,41.0,88.27999999999999,13.0,True,53
ppo_latest,7,49,49,phase1_12x12_pool_063.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_063.csv,63,8.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0, 8.0, 8.0, 8.0]",5.0,3.0,1.6666666666666667,3.0,6.0,8.0,0.0,-1.0,0.0,-1.0,0.0,0.0,2.0,2.0,44.0,51.52,8.0,True,44
oracle_org_only,7,49,49,phase1_12x12_pool_064.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_064.csv,64,4.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",5.0,1.0,2.0,-1.0,-1.0,1.0,1.0,2.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,True,9
ppo_latest,8,50,50,phase1_12x12_pool_066.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_066.csv,66,10.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 7.0, 10.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,3.0,6.0,7.0,0.0,-1.0,0.0,-1.0,0.0,3.0,1.0,2.0,53.0,60.74,10.0,True,43
oracle_org_only,8,50,50,phase1_12x12_pool_067.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_067.csv,67,13.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 10.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,4.0,8.0,1.0,2.0,0.0,-1.0,1.0,4.0,2.0,3.0,43.0,92.43999999999998,13.0,True,57
ppo_latest,9,51,51,phase1_12x12_pool_069.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_069.csv,69,13.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 7.0, 10.0, 10.0, 13.0, 13.0]",5.0,4.0,2.0,3.0,6.0,5.0,0.0,-1.0,0.0,-1.0,0.0,1.0,5.0,3.0,59.0,88.21999999999998,13.0,True,44
oracle_org_only,9,51,51,phase1_12x12_pool_070.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_070.csv,70,10.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 7.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,2.0,4.0,8.0,1.0,2.0,0.0,-1.0,1.0,3.0,1.0,2.0,49.0,72.42,10.0,True,48
ppo_latest,10,52,52,phase1_12x12_pool_072.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_072.csv,72,5.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0]",5.0,2.0,1.5,7.0,10.0,3.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,21.0,20.18,5.0,True,30
oracle_org_only,10,52,52,phase1_12x12_pool_073.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_073.csv,73,7.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 7.0, 7.0]",5.0,2.0,2.0,3.0,6.0,3.0,1.0,2.0,0.0,-1.0,1.0,2.0,0.0,1.0,44.0,32.019999999999996,7.0,True,29
ppo_latest,11,53,53,phase1_12x12_pool_075.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_075.csv,75,15.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 10.0, 10.0, 13.0, 15.0, 15.0]",5.0,5.0,2.0,2.0,4.0,7.0,0.0,-1.0,0.0,-1.0,0.0,4.0,4.0,4.0,52.0,108.15999999999998,15.0,True,59
oracle_org_only,11,53,53,phase1_12x12_pool_076.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_076.csv,76,10.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 10.0, 10.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,2.0,4.0,5.0,1.0,2.0,0.0,-1.0,1.0,4.0,0.0,2.0,52.0,57.66,10.0,True,39
ppo_latest,12,54,54,phase1_12x12_pool_078.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_078.csv,78,11.0,"[null, null, 4.0, 4.0, 5.0, 5.0, 8.0, 11.0, 11.0, 11.0, 11.0]",5.0,3.0,2.3333333333333335,2.0,4.0,10.0,0.0,-1.0,0.0,-1.0,0.0,4.0,3.0,2.0,82.0,80.55999999999997,11.0,True,66
oracle_org_only,12,54,54,phase1_12x12_pool_079.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_079.csv,79,13.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 10.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,4.0,8.0,1.0,2.0,0.0,-1.0,1.0,6.0,0.0,3.0,51.0,91.57999999999998,13.0,True,57
ppo_latest,13,55,55,phase1_12x12_pool_081.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_081.csv,81,7.0,"[null, null, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",5.0,2.0,2.0,2.0,5.0,6.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,71.0,52.67999999999999,7.0,True,45
oracle_org_only,13,55,55,phase1_12x12_pool_082.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_082.csv,82,7.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]",5.0,2.0,2.0,2.0,4.0,6.0,1.0,2.0,0.0,-1.0,1.0,2.0,0.0,1.0,46.0,41.679999999999986,7.0,True,35
ppo_latest,14,56,56,phase1_12x12_pool_084.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_084.csv,84,7.0,"[null, null, 4.0, 4.0, 4.0, 5.0, 5.0, 7.0, 7.0, 7.0, 7.0]",5.0,2.0,2.0,2.0,5.0,6.0,0.0,-1.0,0.0,-1.0,0.0,2.0,0.0,1.0,46.0,31.67999999999999,7.0,True,46
oracle_org_only,14,56,56,phase1_12x12_pool_085.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_085.csv,85,4.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",5.0,1.0,2.0,-1.0,-1.0,1.0,1.0,2.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,True,9
ppo_latest,15,57,57,phase1_12x12_pool_087.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_087.csv,87,8.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 6.0, 6.0, 6.0, 8.0, 8.0]",5.0,3.0,2.0,3.0,6.0,6.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,2.0,17.0,51.86,8.0,True,45
oracle_org_only,15,57,57,phase1_12x12_pool_088.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_088.csv,88,13.0,"[null, null, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 11.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,5.0,6.0,1.0,2.0,0.0,-1.0,1.0,3.0,3.0,3.0,62.0,86.95999999999997,13.0,True,51
ppo_latest,16,58,58,phase1_12x12_pool_090.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_090.csv,90,15.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 13.0, 15.0, 15.0]",5.0,5.0,2.0,2.0,4.0,6.0,0.0,-1.0,0.0,-1.0,0.0,2.0,6.0,4.0,55.0,108.9,15.0,True,57
oracle_org_only,16,58,58,phase1_12x12_pool_091.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_091.csv,91,10.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,2.0,4.0,9.0,1.0,2.0,0.0,-1.0,1.0,3.0,1.0,2.0,64.0,74.11999999999999,10.0,True,53
ppo_latest,17,59,59,phase1_12x12_pool_093.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_093.csv,93,16.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 11.0, 13.0, 16.0, 16.0, 16.0]",5.0,5.0,2.0,2.0,4.0,7.0,0.0,-1.0,0.0,-1.0,0.0,2.0,6.0,4.0,69.0,113.51999999999995,16.0,True,55
oracle_org_only,17,59,59,phase1_12x12_pool_094.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_094.csv,94,10.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,3.0,6.0,4.0,1.0,2.0,0.0,-1.0,1.0,3.0,1.0,2.0,43.0,59.43999999999999,10.0,True,37
ppo_latest,18,60,60,phase1_12x12_pool_096.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_096.csv,96,7.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 7.0, 7.0]",5.0,2.0,2.0,3.0,6.0,6.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,59.0,42.719999999999985,7.0,True,42
oracle_org_only,18,60,60,phase1_12x12_pool_097.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_097.csv,97,4.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",5.0,1.0,2.0,-1.0,-1.0,1.0,1.0,2.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,True,9
ppo_latest,19,61,61,phase1_12x12_pool_099.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_099.csv,99,9.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 9.0, 9.0]",5.0,4.0,1.5,6.0,9.0,3.0,0.0,-1.0,0.0,-1.0,0.0,2.0,0.0,3.0,54.0,62.82,9.0,True,32
oracle_org_only,19,61,61,phase1_12x12_pool_100.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_100.csv,100,13.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 10.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,4.0,8.0,1.0,2.0,0.0,-1.0,1.0,5.0,1.0,3.0,48.0,91.33999999999999,13.0,True,57
ppo_latest,20,62,62,phase1_12x12_pool_102.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_102.csv,102,14.0,"[null, null, 4.0, 4.0, 5.0, 8.0, 8.0, 11.0, 11.0, 14.0, 14.0]",5.0,4.0,2.25,2.0,5.0,8.0,0.0,-1.0,0.0,-1.0,0.0,5.0,4.0,3.0,64.0,104.61999999999998,14.0,True,62
oracle_org_only,20,62,62,phase1_12x12_pool_103.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_103.csv,103,8.0,"[null, null, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0]",5.0,3.0,1.6666666666666667,2.0,5.0,8.0,1.0,2.0,0.0,-1.0,1.0,2.0,0.0,2.0,39.0,61.11999999999999,8.0,True,48
ppo_latest,21,63,63,phase1_12x12_pool_105.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_105.csv,105,13.0,"[null, null, 4.0, 4.0, 4.0, 7.0, 7.0, 10.0, 10.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,5.0,7.0,0.0,-1.0,0.0,-1.0,0.0,6.0,0.0,3.0,57.0,87.55999999999997,13.0,True,52
oracle_org_only,21,63,63,phase1_12x12_pool_106.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_106.csv,106,13.0,"[null, null, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,5.0,6.0,0.0,-1.0,0.0,-1.0,0.0,1.0,5.0,3.0,45.0,89.1,13.0,True,49
ppo_latest,22,64,64,phase1_12x12_pool_108.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_108.csv,108,10.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 7.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,2.0,4.0,9.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,2.0,70.0,61.59999999999998,10.0,True,54
oracle_org_only,22,64,64,phase1_12x12_pool_109.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_109.csv,109,7.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 7.0, 7.0]",5.0,2.0,2.0,3.0,6.0,3.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,37.0,30.95999999999999,7.0,True,28
ppo_latest,23,65,65,phase1_12x12_pool_111.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_111.csv,111,12.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 10.0, 12.0, 12.0]",5.0,5.0,1.6,2.0,4.0,11.0,0.0,-1.0,0.0,-1.0,0.0,0.0,4.0,4.0,64.0,95.11999999999996,12.0,True,60
oracle_org_only,23,65,65,phase1_12x12_pool_112.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_112.csv,112,13.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 13.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,4.0,8.0,1.0,2.0,0.0,-1.0,1.0,3.0,3.0,3.0,40.0,92.69999999999997,13.0,True,52
ppo_latest,24,66,66,phase1_12x12_pool_114.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_114.csv,114,15.0,"[null, null, 4.0, 4.0, 4.0, 5.0, 7.0, 10.0, 15.0, 15.0, 15.0]",5.0,4.0,2.5,2.0,5.0,7.0,0.0,-1.0,0.0,-1.0,0.0,5.0,4.0,3.0,56.0,103.47999999999998,15.0,True,57
oracle_org_only,24,66,66,phase1_12x12_pool_115.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_115.csv,115,4.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",5.0,1.0,2.0,8.0,-1.0,3.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,37.0,12.46,4.0,True,20
ppo_latest,25,67,67,phase1_12x12_pool_117.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_117.csv,117,13.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 10.0, 13.0, 13.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,4.0,9.0,0.0,-1.0,0.0,-1.0,0.0,1.0,5.0,3.0,67.0,88.85999999999999,13.0,True,56
oracle_org_only,25,67,67,phase1_12x12_pool_118.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_118.csv,118,10.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 8.0, 10.0, 10.0]",5.0,3.0,2.0,5.0,8.0,3.0,1.0,2.0,0.0,-1.0,1.0,3.0,1.0,2.0,42.0,57.359999999999985,10.0,True,32
ppo_latest,26,68,68,phase1_12x12_pool_120.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_120.csv,120,11.0,"[null, null, 4.0, 4.0, 7.0, 8.0, 8.0, 11.0, 11.0, 11.0, 11.0]",5.0,3.0,2.3333333333333335,2.0,4.0,10.0,0.0,-1.0,0.0,-1.0,0.0,0.0,4.0,2.0,57.0,64.06,11.0,True,61
oracle_org_only,26,68,68,phase1_12x12_pool_121.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_121.csv,121,7.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0]",5.0,2.0,2.0,6.0,9.0,3.0,1.0,2.0,0.0,-1.0,1.0,1.0,1.0,1.0,32.0,33.06,7.0,True,27
ppo_latest,27,69,69,phase1_12x12_pool_123.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_123.csv,123,13.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 7.0, 11.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,4.0,6.0,0.0,-1.0,0.0,-1.0,0.0,3.0,3.0,3.0,74.0,86.92000000000002,13.0,True,54
oracle_org_only,27,69,69,phase1_12x12_pool_124.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_124.csv,124,4.0,"[null, null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",5.0,1.0,2.0,-1.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,8
ppo_latest,28,70,70,phase1_12x12_pool_126.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_126.csv,126,11.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 11.0, 11.0]",5.0,4.0,1.75,3.0,6.0,6.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,3.0,36.0,74.38,11.0,True,44
oracle_org_only,28,70,70,phase1_12x12_pool_127.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_127.csv,127,8.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 8.0, 8.0]",5.0,3.0,1.6666666666666667,3.0,6.0,6.0,0.0,-1.0,0.0,-1.0,0.0,0.0,2.0,2.0,49.0,50.919999999999995,8.0,True,39
ppo_latest,29,71,71,phase1_12x12_pool_001.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_001.csv,1,10.0,"[null, null, 4.0, 4.0, 7.0, 7.0, 7.0, 10.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,2.0,4.0,9.0,0.0,-1.0,0.0,-1.0,0.0,1.0,3.0,2.0,61.0,65.38,10.0,True,56
oracle_org_only,29,71,71,phase1_12x12_pool_002.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_002.csv,2,7.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 7.0, 7.0]",5.0,2.0,2.0,3.0,6.0,3.0,1.0,2.0,0.0,-1.0,1.0,1.0,1.0,1.0,38.0,31.039999999999992,7.0,True,29
ppo_latest,30,72,72,phase1_12x12_pool_004.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_004.csv,4,8.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 8.0, 8.0]",5.0,3.0,1.6666666666666667,3.0,6.0,7.0,0.0,-1.0,0.0,-1.0,0.0,0.0,2.0,2.0,37.0,51.96,8.0,True,42
oracle_org_only,30,72,72,phase1_12x12_pool_005.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_005.csv,5,13.0,"[null, null, 4.0, 4.0, 4.0, 7.0, 7.0, 7.0, 11.0, 13.0, 13.0]",5.0,4.0,2.0,2.0,5.0,6.0,1.0,2.0,0.0,-1.0,1.0,5.0,1.0,3.0,48.0,85.83999999999997,13.0,True,46
ppo_latest,31,73,73,phase1_12x12_pool_007.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_007.csv,7,10.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 7.0, 7.0, 10.0, 10.0, 10.0]",5.0,3.0,2.0,3.0,6.0,7.0,0.0,-1.0,0.0,-1.0,0.0,1.0,3.0,2.0,50.0,68.99999999999999,10.0,True,45
oracle_org_only,31,73,73,phase1_12x12_pool_008.csv,C:\PolyVision\pol_env\Tribes\levels/phase1_pool\phase1_12x12_pool_008.csv,8,4.0,"[null, null, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",5.0,1.0,2.0,-1.0,-1.0,1.0,1.0,2.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,True,9
